## Syphers & Shull 2014 ##
#z eta eta_dn eta_up
3.2246 52.2396 41.4954 68.8652
3.2256 67.2977 51.0505 92.0450
3.2266 39.0841 28.8403 52.9663
3.2277 61.9441 35.6451 131.8257
3.2286 75.1623 53.7032 105.6818
3.2296 53.4564 32.5087 82.4138
3.2306 65.4636 42.6580 96.8278
3.2316 40.5509 30.9030 55.7186
3.2346 24.8886 13.1826 52.2396
3.2356 23.3346 17.0608 32.9610
3.2367 80.9096 54.2001 119.1242
3.2376 27.7971 8.0168 54.4503
3.2396 54.9541 39.4457 78.7046
3.2406 104.2317 78.3430 149.9685
3.2416 25.8226 20.0447 35.9749
3.2427 142.5608 59.9791 1013.9114
3.2436 44.0555 35.6451 55.4626
3.2446 57.8096 46.1318 73.1139
3.2456 65.7658 52.2396 82.4138
3.2467 92.8966 59.7035 141.9058
3.2476 128.2331 92.8966 180.3018
3.2486 24.5471 17.8649 35.1560
3.2496 51.2861 41.4954 64.8634
3.2506 30.4789 23.6592 40.9261
3.2516 58.0764 44.6684 77.2681
3.2526 31.3329 25.1189 39.4457
3.2536 39.4457 25.8226 63.0957
3.2547 9.3325 7.3451 12.1899
3.2556 32.9610 14.5881 62.2300
3.2566 77.9830 53.7032 115.3453
3.2577 147.9108 58.6138 682.3387
3.2586 3.2063 2.6669 4.3053
3.2596 10.7152 8.3946 14.3219
3.2606 20.6063 14.8594 29.1072
3.2616 5.5463 1.0000 27.6694
3.2626 72.7780 57.5440 93.3254
3.2636 118.5769 101.3911 142.5608
3.2647 42.4620 31.9154 57.8096
3.2656 25.1189 20.4174 31.9154
3.2666 24.5471 18.7068 32.2107
3.2676 1.7298 1.4928 2.0701
3.2686 2.4547 1.4859 4.5709
3.2696 15.8489 2.4660 35.4813
#
#
# lower limits
#z lowlim
2.7471 40.7380 0.000 0.000
2.7671 307.6097 0.000 0.000
2.7692 232.2737 0.000 0.000
2.7852 205.1162 0.000 0.000
2.7871 2.3659 0.000 0.000
2.8071 29.9226 0.000 0.000
2.8631 21.4783 0.000 0.000
2.8831 79.4328 0.000 0.000
2.8852 130.6171 0.000 0.000
2.8991 159.9558 0.000 0.000
2.9031 143.2188 0.000 0.000
2.9051 109.6478 0.000 0.000
2.9112 369.8282 0.000 0.000
2.9232 161.4359 0.000 0.000
2.9272 283.1392 0.000 0.000
2.9291 194.9845 0.000 0.000
3.0616 8.9536 0.000 0.000
3.0626 19.8609 0.000 0.000
3.0766 125.8925 0.000 0.000
3.0786 17.0608 0.000 0.000
3.0816 409.2607 0.000 0.000
3.0836 296.4831 0.000 0.000
3.0866 340.4082 0.000 0.000
3.0896 122.4616 0.000 0.000
3.0926 29.5121 0.000 0.000
3.0936 303.3891 0.000 0.000
3.0956 34.1979 0.000 0.000
3.0966 35.6451 0.000 0.000
3.0976 47.4242 0.000 0.000
3.1056 179.4734 0.000 0.000
3.1066 10.0925 0.000 0.000
3.1076 41.6869 0.000 0.000
3.1085 34.1979 0.000 0.000
3.1096 89.1251 0.000 0.000
3.1105 46.5586 0.000 0.000
3.1116 240.9905 0.000 0.000
3.1136 134.2765 0.000 0.000
3.1196 206.0630 0.000 0.000
3.1246 149.2794 0.000 0.000
3.1256 253.5129 0.000 0.000
3.1306 81.2831 0.000 0.000
3.1316 34.1979 0.000 0.000
3.1326 44.8745 0.000 0.000
3.1376 47.6431 0.000 0.000
3.1456 196.7886 0.000 0.000
3.1506 181.9701 0.000 0.000
3.1516 217.7710 0.000 0.000
3.1736 424.6196 0.000 0.000
3.1796 695.0243 0.000 0.000
3.1866 266.6859 0.000 0.000
3.1916 309.0295 0.000 0.000
3.1926 244.3431 0.000 0.000
3.1936 101.3911 0.000 0.000
3.2036 218.7762 0.000 0.000
3.2166 51.9996 0.000 0.000
3.2186 67.2977 0.000 0.000
3.2226 31.9154 0.000 0.000
3.2326 28.1838 0.000 0.000
3.2336 5.8614 0.000 0.000
3.2386 29.5121 0.000 0.000
