## Worseck 2016 ##
#z taueff err+  err-  #QSOname
3.16  5.56  0.0  0.0  #SDSS J2346$$0016
3.20  5.54  0.0  0.0  #SDSS J2346$$0016
3.36  5.59  0.0  0.0  #SDSS J2346$$0016
3.40  5.68  0.0  0.0  #SDSS J2346$$0016
3.44  5.57  0.0  0.0  #SDSS J2346$$0016
3.20  5.26  0.0  0.0  #SDSS J1319$ $5202
3.36  4.88  0.0  0.0  #SDSS J1319$ $5202
#
#
## Worseck+2018 ##
#z taueff err+  err-  #QSOname
2.60  1.69  0.61  0.22   #HS 1024$+$1849 
2.64  1.12  0.10  0.07   #HS 1024$+$1849 
2.68  2.19  0.11  0.11   #HS 1024$+$1849 
2.72  2.73  0.15  0.12   #HS 1024$+$1849 
2.76  3.04  0.18  0.13   #HS 1024$+$1849 
2.56  1.37  0.24  0.19   #Q 1602$+$576
2.60  1.43  0.09  0.11   #Q 1602$+$576
2.64  1.09  0.04  0.03   #Q 1602$+$576
2.68  1.58  0.03  0.03   #Q 1602$+$576
2.72  1.75  0.02  0.04   #Q 1602$+$576
2.76  1.55  0.02  0.02   #Q 1602$+$576
2.80  2.29  0.04  0.05   #Q 1602$+$576
2.68  2.42  0.21  0.19   #HE2QS J2157$+$2330
2.72  2.24  0.13  0.12   #HE2QS J2157$+$2330
2.76  2.01  0.09  0.09   #HE2QS J2157$+$2330
2.80  1.68  0.07  0.07   #HE2QS J2157$+$2330
2.84  2.26  0.09  0.09   #HE2QS J2157$+$2330
2.88  2.20  0.10  0.09   #HE2QS J2157$+$2330
2.72  1.17  0.17  0.14   #HE2QS J2149$-$0859
2.76  1.52  0.15  0.13   #HE2QS J2149$-$0859
2.84  1.83  0.16  0.13   #HE2QS J2149$-$0859
2.88  1.91  0.17  0.14   #HE2QS J2149$-$0859
2.76  1.75  0.06  0.06   #Q 0302$-$003
2.80  2.17  0.07  0.07   #Q 0302$-$003
2.84  2.07  0.05  0.05   #Q 0302$-$003
2.88  3.74  0.26  0.20   #Q 0302$-$003
2.92  4.34  0.49  0.33   #Q 0302$-$003
3.08  5.29  1.53  0.04   #Q 0302$-$003
3.16  4.41  0.37  0.27   #Q 0302$-$003
2.68  2.12  0.32  0.23   #HE2QS J0233$-$0149
2.72  1.93  0.15  0.13   #HE2QS J0233$-$0149
2.76  2.32  0.13  0.12   #HE2QS J0233$-$0149
2.80  1.84  0.09  0.09   #HE2QS J0233$-$0149
2.84  1.47  0.07  0.06   #HE2QS J0233$-$0149
2.88  3.16  0.23  0.18   #HE2QS J0233$-$0149
3.08  2.14  0.08  0.09   #HE2QS J0233$-$0149
3.12  2.89  0.14  0.13   #HE2QS J0233$-$0149
3.24  4.45  0.70  0.40   #HE2QS J0233$-$0149
2.72  2.12  0.08  0.07   #HS 0911$+$4809
2.76  2.74  0.11  0.12   #HS 0911$+$4809
2.80  2.06  0.09  0.05   #HS 0911$+$4809
2.84  2.63  0.07  0.07   #HS 0911$+$4809
2.88  5.02  0.89  0.49   #HS 0911$+$4809
2.92  4.66  0.45  0.31   #HS 0911$+$4809
3.08  4.47  0.44  0.31   #HS 0911$+$4809
3.12  5.36  1.41  0.57   #HS 0911$+$4809
3.16  3.30  0.10  0.10   #HS 0911$+$4809
3.20  4.07  0.22  0.19   #HS 0911$+$4809
2.80  1.56  0.06  0.06   #HE2QS J0916$+$2408
2.84  1.47  0.05  0.05   #HE2QS J0916$+$2408
2.88  1.93  0.08  0.07   #HE2QS J0916$+$2408
2.84  2.95  0.16  0.13   #SDSS J1253$+$6817
2.88  2.62  0.11  0.11   #SDSS J1253$+$6817
3.12  3.38  0.19  0.16   #SDSS J1253$+$6817
3.16  3.02  0.14  0.13   #SDSS J1253$+$6817
2.84  3.13  0.14  0.13   #SDSS J2346$-$0016
2.88  2.56  0.09  0.08   #SDSS J2346$-$0016
3.12  5.36  1.41  0.55   #SDSS J2346$-$0016
3.08  3.25  0.14  0.13   #HE2QS J2311$-$1417
3.12  3.91  0.26  0.21   #HE2QS J2311$-$1417
3.16  5.22  1.31  0.56   #HE2QS J2311$-$1417
3.72  3.96  1.24  0.54   #SDSS J1137$+$6237
3.08  1.63  0.06  0.06   #HE2QS J1630$+$0435
3.12  4.14  0.38  0.27   #HE2QS J1630$+$0435
3.48  4.89  1.35  0.59   #HE2QS J1630$+$0435
3.60  3.86  0.42  0.31   #HE2QS J1630$+$0435
3.36  5.38  2.46  0.66   #SDSS J1711$+$6052
3.40  4.43  0.48  0.33   #SDSS J1711$+$6052
3.40  4.85  2.50  0.65   #SDSS J1319$+$5202
3.44  2.39  0.15  0.12   #SDSS J1319$+$5202
3.48  3.97  0.76  0.42   #SDSS J1319$+$5202
3.68  3.98  1.34  0.54   #SDSS J1319$+$5202
3.76  3.04  0.48  0.34   #SDSS J1319$+$5202
3.80  3.59  1.23  0.54   #SDSS J1319$+$5202
3.84  3.38  0.92  0.47   #SDSS J1319$+$5202
#lower limits (z taueff_min)
2.80  4.19  0.00  0.00   #HE2QS J2149$-$0859
3.12  4.50  0.00  0.00   #HE2QS J2149$-$0859
3.16  4.39  0.00  0.00   #HE2QS J2149$-$0859
3.20  4.41  0.00  0.00   #HE2QS J2149$-$0859
3.12  5.73  0.00  0.00   #Q 0302$-$003
3.16  5.21  0.00  0.00   #HE2QS J0233$-$0149
3.20  5.37  0.00  0.00   #HE2QS J0233$-$0149
3.24  5.70  0.00  0.00   #HS 0911$+$4809
3.12  5.57  0.00  0.00   #HE2QS J0916$+$2408
3.16  5.42  0.00  0.00   #HE2QS J0916$+$2408
3.20  5.56  0.00  0.00   #HE2QS J0916$+$2408
3.36  5.29  0.00  0.00   #HE2QS J0916$+$2408
3.20  5.42  0.00  0.00   #SDSS J1253$+$6817
3.24  5.54  0.00  0.00   #SDSS J1253$+$6817
3.36  5.57  0.00  0.00   #SDSS J1253$+$6817
3.16  5.74  0.00  0.00   #SDSS J2346$-$0016
3.20  5.76  0.00  0.00   #SDSS J2346$-$0016
3.36  5.88  0.00  0.00   #SDSS J2346$-$0016
3.40  5.94  0.00  0.00   #SDSS J2346$-$0016
3.44  5.81  0.00  0.00   #SDSS J2346$-$0016
3.20  5.60  0.00  0.00   #HE2QS J2311$-$1417
3.24  5.56  0.00  0.00   #HE2QS J2311$-$1417
3.36  5.40  0.00  0.00   #HE2QS J2311$-$1417
3.40  5.39  0.00  0.00   #HE2QS J2311$-$1417
3.44  5.24  0.00  0.00   #HE2QS J2311$-$1417
3.48  5.17  0.00  0.00   #HE2QS J2311$-$1417
3.52  5.12  0.00  0.00   #HE2QS J2311$-$1417
3.56  5.19  0.00  0.00   #HE2QS J2311$-$1417
3.60  5.12  0.00  0.00   #HE2QS J2311$-$1417
3.64  5.01  0.00  0.00   #HE2QS J2311$-$1417
3.16  5.23  0.00  0.00   #SDSS J1137$+$6237
3.20  5.21  0.00  0.00   #SDSS J1137$+$6237
3.24  5.13  0.00  0.00   #SDSS J1137$+$6237
3.36  5.01  0.00  0.00   #SDSS J1137$+$6237
3.40  5.02  0.00  0.00   #SDSS J1137$+$6237
3.52  4.80  0.00  0.00   #SDSS J1137$+$6237
3.56  4.80  0.00  0.00   #SDSS J1137$+$6237
3.60  4.77  0.00  0.00   #SDSS J1137$+$6237
3.64  4.71  0.00  0.00   #SDSS J1137$+$6237
3.68  4.68  0.00  0.00   #SDSS J1137$+$6237
3.16  5.44  0.00  0.00   #HE2QS J1630$+$0435
3.20  5.51  0.00  0.00   #HE2QS J1630$+$0435
3.24  5.46  0.00  0.00   #HE2QS J1630$+$0435
3.36  5.28  0.00  0.00   #HE2QS J1630$+$0435
3.40  5.39  0.00  0.00   #HE2QS J1630$+$0435
3.44  5.35  0.00  0.00   #HE2QS J1630$+$0435
3.52  5.32  0.00  0.00   #HE2QS J1630$+$0435
3.56  5.37  0.00  0.00   #HE2QS J1630$+$0435
3.64  5.27  0.00  0.00   #HE2QS J1630$+$0435
3.68  5.30  0.00  0.00   #HE2QS J1630$+$0435
3.72  5.29  0.00  0.00   #HE2QS J1630$+$0435
3.20  4.86  0.00  0.00   #SDSS J1614$+$4859
3.36  4.68  0.00  0.00   #SDSS J1614$+$4859
3.40  4.73  0.00  0.00   #SDSS J1614$+$4859
3.52  4.56  0.00  0.00   #SDSS J1614$+$4859
3.56  4.58  0.00  0.00   #SDSS J1614$+$4859
3.60  4.52  0.00  0.00   #SDSS J1614$+$4859
3.64  4.47  0.00  0.00   #SDSS J1614$+$4859
3.68  4.46  0.00  0.00   #SDSS J1614$+$4859
3.72  4.38  0.00  0.00   #SDSS J1614$+$4859
3.56  5.45  0.00  0.00   #SDSS J1711$+$6052
3.60  5.39  0.00  0.00   #SDSS J1711$+$6052
3.64  5.34  0.00  0.00   #SDSS J1711$+$6052
3.68  5.29  0.00  0.00   #SDSS J1711$+$6052
3.72  5.19  0.00  0.00   #SDSS J1711$+$6052
3.76  5.15  0.00  0.00   #SDSS J1711$+$6052
3.20  5.40  0.00  0.00   #SDSS J1319$+$5202
3.36  5.06  0.00  0.00   #SDSS J1319$+$5202
3.52  5.45  0.00  0.00   #SDSS J1711$+$6052
3.52  4.72  0.00  0.00   #SDSS J1319$+$5202
3.56  4.65  0.00  0.00   #SDSS J1319$+$5202
3.60  4.53  0.00  0.00   #SDSS J1319$+$5202
3.64  4.46  0.00  0.00   #SDSS J1319$+$5202
3.72  4.28  0.00  0.00   #SDSS J1319$+$5202
